                     

WYKRES 0


*********************************DLA 5 WEZLOW*********************************


	Druga pochodna wzorami:
	0	0.478147	-0.958147	0.478147	0
	Druga pochodna z ilorazu roznicowego:
	1.46581e-09	0.0449432	-1.99003	0.0449432	1.46581e-09	             -5	    1.38879e-11
           -2.5	             -1
           -2.4	      -0.942546
           -2.3	      -0.879113
           -2.2	      -0.810235
           -2.1	      -0.736448
             -2	      -0.658286
           -1.9	      -0.576283
           -1.8	      -0.490976
           -1.7	      -0.402898
           -1.6	      -0.312585
           -1.5	      -0.220571
           -1.4	      -0.127392
           -1.3	     -0.0335817
           -1.2	      0.0603246
           -1.1	       0.153792
             -1	       0.246286
           -0.9	       0.337271
           -0.8	       0.426213
           -0.7	       0.512576
           -0.6	       0.595826
           -0.5	       0.675429
           -0.4	       0.750848
           -0.3	        0.82155
           -0.2	       0.886999
           -0.1	       0.946661
   -1.02696e-15	              1
            0.1	        1.04663
            0.2	        1.08674
            0.3	        1.12069
            0.4	         1.1488
            0.5	        1.17143
            0.6	        1.18891
            0.7	         1.2016
            0.8	        1.20983
            0.9	        1.21394
              1	        1.21429
            1.1	         1.2112
            1.2	        1.20503
            1.3	        1.19611
            1.4	         1.1848
            1.5	        1.17143
            1.6	        1.15634
            1.7	        1.13989
            1.8	         1.1224
            1.9	        1.10423
              2	        1.08571
            2.1	         1.0672
            2.2	        1.04903
            2.3	        1.03154
            2.4	        1.01509
            2.5	              1
            2.6	        0.98656
            2.7	       0.974766
            2.8	       0.964549
            2.9	        0.95584
              3	       0.948571
            3.1	       0.942674
            3.2	        0.93808
            3.3	        0.93472
            3.4	       0.932526
            3.5	       0.931429
            3.6	        0.93136
            3.7	       0.932251
            3.8	       0.934034
            3.9	        0.93664
              4	           0.94
            4.1	       0.944046
            4.2	       0.948709
            4.3	        0.95392
            4.4	       0.959611
            4.5	       0.965714
            4.6	        0.97216
            4.7	        0.97888
            4.8	       0.985806
            4.9	       0.992869
              5	              1
*********************************DLA 10 WEZLOW*********************************


	Druga pochodna wzorami:
	0	0	0	0	2	-2	0	0	0	0
	Druga pochodna z ilorazu roznicowego:
	0	0	0	0	0	0	0	0	0	0	             -5	             -1
           -4.9	      -0.999526
           -4.8	      -0.999081
           -4.7	      -0.998694
           -4.6	      -0.998392
           -4.5	      -0.998206
           -4.4	      -0.998163
           -4.3	      -0.998292
           -4.2	      -0.998622
           -4.1	      -0.999182
             -4	             -1
           -3.9	       -1.00108
           -3.8	        -1.0023
           -3.7	       -1.00352
           -3.6	       -1.00459
           -3.5	       -1.00538
           -3.4	       -1.00574
           -3.3	       -1.00553
           -3.2	       -1.00459
           -3.1	        -1.0028
             -3	             -1
           -2.9	      -0.996167
           -2.8	      -0.991732
           -2.7	      -0.987239
           -2.6	      -0.983234
           -2.5	      -0.980263
           -2.4	      -0.978871
           -2.3	      -0.979603
           -2.2	      -0.983005
           -2.1	      -0.989622
             -2	             -1
           -1.9	       -1.01425
           -1.8	       -1.03078
           -1.7	       -1.04753
           -1.6	       -1.06247
           -1.5	       -1.07356
           -1.4	       -1.07878
           -1.3	       -1.07606
           -1.2	       -1.06339
           -1.1	       -1.03871
             -1	             -1
           -0.9	      -0.945818
           -0.8	      -0.877167
           -0.7	      -0.795656
           -0.6	       -0.70289
           -0.5	      -0.600478
           -0.4	      -0.490029
           -0.3	      -0.373148
           -0.2	      -0.251445
           -0.1	      -0.126526
   -1.02696e-15	   -1.38778e-15
            0.1	       0.126526
            0.2	       0.251445
            0.3	       0.373148
            0.4	       0.490029
            0.5	       0.600478
            0.6	        0.70289
            0.7	       0.795656
